,Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,game_id
0,Jacy Sheldon,37,10,19,0.526,8,14,0.571,2,5,0.4,6,6,1.0,2,2,4,2,5,0,4,2,28,ohio-state,2023-11-06-14-ohio-state
1,Celeste Taylor,35,1,8,0.125,0,3,0.0,1,5,0.2,4,8,0.5,0,3,3,2,2,0,2,5,7,ohio-state,2023-11-06-14-ohio-state
2,Cotie McMahon,34,3,11,0.273,2,8,0.25,1,3,0.333,0,0,,1,4,5,2,1,0,5,4,7,ohio-state,2023-11-06-14-ohio-state
3,Taylor Thierry,33,5,6,0.833,5,5,1.0,0,1,0.0,6,6,1.0,2,6,8,0,2,0,2,3,16,ohio-state,2023-11-06-14-ohio-state
4,Rebeka Mikulasikova,21,2,5,0.4,2,3,0.667,0,2,0.0,4,4,1.0,1,3,4,1,0,0,1,1,8,ohio-state,2023-11-06-14-ohio-state
6,Rikki Harris,17,1,2,0.5,0,0,,1,2,0.5,2,3,0.667,0,0,0,1,0,0,0,4,5,ohio-state,2023-11-06-14-ohio-state
7,Diana Collins,16,1,6,0.167,1,3,0.333,0,3,0.0,0,0,,1,0,1,0,0,0,0,3,2,ohio-state,2023-11-06-14-ohio-state
8,Taiyier Parks,5,0,1,0.0,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,1,0,ohio-state,2023-11-06-14-ohio-state
9,Eboni Walker,2,0,0,,0,0,,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,1,ohio-state,2023-11-06-14-ohio-state
0,Kayla Padilla,38,1,5,0.2,0,0,,1,5,0.2,5,6,0.833,0,0,0,3,1,0,3,3,8,southern-california,2023-11-06-14-ohio-state
1,McKenzie Forbes,37,3,9,0.333,1,4,0.25,2,5,0.4,3,7,0.429,0,4,4,1,0,0,4,4,11,southern-california,2023-11-06-14-ohio-state
2,Rayah Marshall,36,9,14,0.643,9,14,0.643,0,0,,0,2,0.0,4,13,17,2,6,2,3,4,18,southern-california,2023-11-06-14-ohio-state
3,Kaitlyn Davis,34,2,5,0.4,2,4,0.5,0,1,0.0,0,0,,5,4,9,2,0,0,3,3,4,southern-california,2023-11-06-14-ohio-state
4,JuJu Watkins,31,11,18,0.611,10,16,0.625,1,2,0.5,9,10,0.9,1,5,6,5,1,1,5,4,32,southern-california,2023-11-06-14-ohio-state
6,Taylor Bigby,17,3,6,0.5,1,1,1.0,2,5,0.4,0,0,,0,3,3,0,1,0,1,3,8,southern-california,2023-11-06-14-ohio-state
7,Malia Samuels,5,1,2,0.5,1,1,1.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,2,southern-california,2023-11-06-14-ohio-state
8,Clarice Akunwafo,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,southern-california,2023-11-06-14-ohio-state
0,Jaela Johnson,30,2,5,0.4,1,1,1.0,1,4,0.25,0,0,,0,2,2,2,1,0,3,2,5,iupui,2023-11-12-13-ohio-state
