team_id,game,date_str,time,type,site,opp,conf,srs,team_result,team_pts,opp_pts,ot,win_num,loss_num,streak,arena
2,1,Thu Nov 9 2023,7:00p,REG,,Eastern Illinois,OVC,-9.8,W,96,43,,1,0,W 1,Simon Skjodt Assembly Hall
2,2,Sun Nov 12 2023,5:00p,REG,@,Stanford (15),Pac-12,36.17,L,64,96,,1,1,L 1,Maples Pavilion
2,3,Fri Nov 17 2023,7:00p,REG,,Murray State,MVC,7.04,W,112,79,,2,1,W 1,Simon Skjodt Assembly Hall
2,4,Sun Nov 19 2023,2:00p,REG,,Lipscomb,A-Sun,-4.1,W,77,44,,3,1,W 2,Simon Skjodt Assembly Hall
2,5,Thu Nov 23 2023,6:00p,REG,N,Tennessee (19),SEC,23.24,W,71,57,,4,1,W 3,Suncoast Credit Union Arena
2,6,Sat Nov 25 2023,11:00a,REG,N,Princeton,Ivy,17.41,W,72,63,,5,1,W 4,Suncoast Credit Union Arena
2,7,Thu Nov 30 2023,7:00p,REG,@,Maine,AEC,3.14,W,67,59,,6,1,W 5,
2,8,Sun Dec 3 2023,2:00p,REG,,Stetson,A-Sun,-8.91,W,72,34,,7,1,W 6,Simon Skjodt Assembly Hall
2,9,Sat Dec 9 2023,4:00p,REG,@,Rutgers,Big Ten,3.79,W,66,56,,8,1,W 7,Jersey Mike's Arena
2,10,Mon Dec 18 2023,7:00p,REG,,Evansville,MVC,-19.46,W,109,56,,9,1,W 8,Simon Skjodt Assembly Hall
2,11,Fri Dec 22 2023,6:00p,REG,,Bowling Green State,MAC,-2.35,W,84,35,,10,1,W 9,Simon Skjodt Assembly Hall
2,12,Sun Dec 31 2023,12:30p,REG,,Illinois,Big Ten,19.38,W,77,71,,11,1,W 10,Simon Skjodt Assembly Hall
2,13,Thu Jan 4 2024,7:00p,REG,,Michigan,Big Ten,18.99,W,80,59,,12,1,W 11,Simon Skjodt Assembly Hall
2,14,Sun Jan 7 2024,2:00p,REG,@,Nebraska,Big Ten,22.52,W,91,69,,13,1,W 12,Pinnacle Bank Arena
2,15,Wed Jan 10 2024,7:00p,REG,,Penn State,Big Ten,25.4,W,75,67,,14,1,W 13,Simon Skjodt Assembly Hall
2,16,Sat Jan 13 2024,8:00p,REG,@,Iowa (3),Big Ten,37.03,L,57,84,,14,2,L 1,Carver-Hawkeye Arena
2,17,Wed Jan 17 2024,8:00p,REG,,Minnesota,Big Ten,16.38,W,85,62,,15,2,W 1,Simon Skjodt Assembly Hall
2,18,Sun Jan 21 2024,2:00p,REG,@,Purdue,Big Ten,14.46,W,74,68,,16,2,W 2,Mackey Arena
2,19,Sun Jan 28 2024,2:00p,REG,,Northwestern,Big Ten,-0.22,W,100,59,,17,2,W 3,Simon Skjodt Assembly Hall
2,20,Wed Jan 31 2024,7:00p,REG,@,Maryland,Big Ten,22.6,W,87,73,,18,2,W 4,Xfinity Center
2,21,Sun Feb 4 2024,12:00p,REG,@,Ohio State (8),Big Ten,34.28,L,69,74,,18,3,L 1,Value City Arena
2,22,Thu Feb 8 2024,7:00p,REG,,Michigan State,Big Ten,28.21,W,94,91,,19,3,W 1,Simon Skjodt Assembly Hall
2,23,Sun Feb 11 2024,2:00p,REG,,Purdue,Big Ten,14.46,W,95,62,,20,3,W 2,Simon Skjodt Assembly Hall
2,24,Wed Feb 14 2024,8:00p,REG,@,Wisconsin,Big Ten,7.62,W,68,54,,21,3,W 3,
2,25,Mon Feb 19 2024,2:00p,REG,@,Illinois,Big Ten,19.38,L,66,86,,21,4,L 1,State Farm Center
2,26,Thu Feb 22 2024,8:00p,REG,,Iowa (4),Big Ten,37.03,W,86,69,,22,4,W 1,Simon Skjodt Assembly Hall
2,27,Tue Feb 27 2024,7:00p,REG,@,Northwestern,Big Ten,-0.22,W,84,64,,23,4,W 2,Welsh-Ryan Arena
2,28,Sun Mar 3 2024,3:00p,REG,,Maryland,Big Ten,22.6,W,71,54,,24,4,W 3,Simon Skjodt Assembly Hall
2,29,Fri Mar 8 2024,9:00p,REG,N,,,,,,,,,,,Target Center
1,1,Mon Nov 6 2023,2:00p,REG,N,Southern California (21),Pac-12,30.17,L,74,83,,0,1,L 1,T-Mobile Arena
1,2,Sun Nov 12 2023,1:00p,REG,,IUPUI,Horizon,-12.07,W,108,58,,1,1,W 1,Value City Arena
