,Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,game_id
0,Jacy Sheldon,37,10,19,.526,8,14,.571,2,5,.400,6,6,1.000,2,2,4,2,5,0,4,2,28,ohio-state,2023-11-06-14-ohio-state
1,Celeste Taylor,35,1,8,.125,0,3,.000,1,5,.200,4,8,.500,0,3,3,2,2,0,2,5,7,ohio-state,2023-11-06-14-ohio-state
2,Cotie McMahon,34,3,11,.273,2,8,.250,1,3,.333,0,0,,1,4,5,2,1,0,5,4,7,ohio-state,2023-11-06-14-ohio-state
3,Taylor Thierry,33,5,6,.833,5,5,1.000,0,1,.000,6,6,1.000,2,6,8,0,2,0,2,3,16,ohio-state,2023-11-06-14-ohio-state
4,Rebeka Mikulasikova,21,2,5,.400,2,3,.667,0,2,.000,4,4,1.000,1,3,4,1,0,0,1,1,8,ohio-state,2023-11-06-14-ohio-state
6,Rikki Harris,17,1,2,.500,0,0,,1,2,.500,2,3,.667,0,0,0,1,0,0,0,4,5,ohio-state,2023-11-06-14-ohio-state
7,Diana Collins,16,1,6,.167,1,3,.333,0,3,.000,0,0,,1,0,1,0,0,0,0,3,2,ohio-state,2023-11-06-14-ohio-state
8,Taiyier Parks,5,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,ohio-state,2023-11-06-14-ohio-state
9,Eboni Walker,2,0,0,,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,ohio-state,2023-11-06-14-ohio-state
0,Kayla Padilla,38,1,5,.200,0,0,,1,5,.200,5,6,.833,0,0,0,3,1,0,3,3,8,southern-california,2023-11-06-14-ohio-state
1,McKenzie Forbes,37,3,9,.333,1,4,.250,2,5,.400,3,7,.429,0,4,4,1,0,0,4,4,11,southern-california,2023-11-06-14-ohio-state
